Median_Household_Income_2018,PCTPOVALL_2018,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Obesity_prevalence,diabetes_prevalence,COPD_prevalence,Heart disease_number
48120.0,20.7,43.7,10.2,39.1,16.0,11.6,9.8
59500.0,12.3,40.4,17.1,26.3,9.7,7.2,6.8
82808.0,7.9,23.3,26.2,27.1,11.0,5.6,5.7
45710.0,19.9,40.4,21.5,32.7,12.7,7.8,9.7
35848.0,27.3,37.1,13.6,38.2,16.3,14.8,11.5
60187.0,15.9,21.4,35.6,24.6,8.5,6.5,5.6
67746.0,8.2,28.1,39.2,32.1,9.9,6.7,6.7
56503.0,12.7,25.5,28.9,27.3,12.7,8.3,8.8
69919.0,9.7,28.0,35.6,29.9,9.7,7.0,6.0
47084.0,18.4,32.6,17.4,41.3,15.2,7.9,7.3
92616.0,6.6,31.4,28.9,41.6,12.6,6.2,5.6
58641.0,9.0,39.4,19.4,33.6,11.6,9.3,8.2
35983.0,25.1,53.5,9.5,42.9,17.8,16.8,13.1
69600.0,8.5,21.9,32.0,31.7,10.0,6.1,6.3
31831.0,29.1,41.3,12.1,40.4,16.4,12.9,10.1
67335.0,9.7,37.5,20.1,37.6,12.3,7.6,7.1
53395.0,16.2,22.5,31.9,28.7,10.8,7.0,7.7
52270.0,14.5,36.9,19.9,35.5,14.6,8.7,8.0
38216.0,23.2,31.7,14.6,43.6,18.4,10.2,9.7
48099.0,15.0,28.0,15.7,33.3,10.3,6.6,5.8
57925.0,13.7,37.7,18.2,33.0,12.0,8.0,8.3
46578.0,23.1,30.7,15.2,33.9,13.7,9.0,7.8
29124.0,34.4,37.2,10.3,44.4,18.5,17.2,13.1
51641.0,12.0,32.8,30.4,33.9,14.2,10.7,11.5
49117.0,15.3,34.3,14.1,38.3,15.6,7.0,8.3
55766.0,11.5,39.0,20.5,37.0,13.2,10.3,8.4
125933.0,7.3,14.5,51.3,19.1,9.5,3.8,4.5
36782.0,18.0,40.2,12.0,40.0,16.9,14.7,12.0
46950.0,17.4,44.4,14.1,37.4,14.5,11.8,10.0
55626.0,13.7,37.1,20.0,30.8,11.9,7.0,9.5
57367.0,9.8,34.4,22.3,32.7,10.3,6.9,7.4
59732.0,10.5,32.5,14.0,32.0,12.4,10.0,8.9
