Median_Household_Income_2018,PCTPOVALL_2018,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Obesity_prevalence,diabetes_prevalence,COPD_prevalence,Heart disease_number
48451.0,14.7,38.9,15.1,33.0,14.4,9.8,9.9
42982.0,22.6,30.6,18.4,37.6,15.4,8.9,8.8
46698.0,19.8,38.6,27.8,31.9,9.3,7.9,6.6
77696.0,6.4,27.9,31.6,34.2,11.3,8.2,6.9
59938.0,8.2,37.5,18.9,37.8,11.3,6.7,8.3
45607.0,17.6,44.3,13.8,35.2,13.8,12.0,10.4
54871.0,12.7,32.2,21.8,32.4,14.6,9.8,10.1
51676.0,12.9,29.1,24.5,32.7,10.7,7.9,8.1
71084.0,11.1,29.1,30.1,30.7,10.4,7.9,6.8
95021.0,5.0,20.7,46.5,29.6,11.2,6.1,6.3
39048.0,25.9,42.7,14.2,37.4,17.2,10.6,9.3
68749.0,7.6,16.2,41.5,28.6,9.2,5.4,5.5
42540.0,15.9,42.3,11.8,37.0,14.4,12.6,11.2
67087.0,14.4,25.1,44.8,28.6,8.2,6.1,5.5
47302.0,16.7,33.8,26.4,30.8,11.2,7.6,7.8
44710.0,16.4,35.3,13.9,36.8,14.7,10.4,9.6
45972.0,15.4,32.9,22.3,31.9,13.5,9.9,9.9
33983.0,30.6,35.6,15.5,41.6,18.4,11.2,10.0
46019.0,14.9,36.2,16.1,38.0,15.7,9.8,9.3
55247.0,9.9,39.9,15.4,36.5,12.3,10.0,9.0
53700.0,13.3,24.0,24.9,29.6,13.0,8.4,9.5
39114.0,22.8,38.1,13.1,35.4,17.4,11.3,10.0
55978.0,11.2,33.2,19.1,33.6,12.2,10.1,8.9
47068.0,14.6,30.4,18.2,35.3,15.9,10.7,11.5
36230.0,26.7,33.2,18.7,42.1,18.4,9.6,9.4
61764.0,9.3,32.0,28.0,29.1,13.5,9.1,9.7
37002.0,32.9,32.2,16.2,42.7,18.2,11.2,10.4
46378.0,19.5,21.7,48.4,29.7,7.4,4.4,5.1
58465.0,11.8,34.7,22.0,38.7,10.5,6.8,7.0
43767.0,15.5,36.2,15.9,32.0,13.9,10.5,9.0
53960.0,11.5,23.4,39.2,27.2,10.6,7.7,7.6
39556.0,21.9,46.1,14.1,42.1,19.6,12.2,11.1
60627.0,9.4,38.5,18.1,37.8,11.9,7.9,8.6
52798.0,13.6,40.3,14.4,36.9,13.5,10.6,8.6
72267.0,15.0,14.9,55.2,26.6,8.7,5.6,5.5
45720.0,13.7,30.2,13.4,35.4,13.3,10.2,8.9
46915.0,14.6,43.6,13.7,35.6,15.4,10.0,10.9
44681.0,16.4,35.8,17.2,39.8,15.9,10.2,9.3
56207.0,12.7,21.3,42.5,22.3,8.2,5.4,5.8
35460.0,24.1,49.1,9.5,38.6,16.9,15.6,12.0
40077.0,25.5,28.8,20.0,36.1,14.4,9.2,8.7
33199.0,28.1,42.1,12.3,42.4,18.6,10.3,9.3
99224.0,6.7,21.4,51.8,25.1,9.2,5.6,5.8
101427.0,5.2,22.6,39.3,29.8,7.7,4.1,4.7
66164.0,9.4,27.5,32.9,35.0,13.2,10.0,8.8
33659.0,32.7,41.4,14.7,43.4,19.1,12.0,10.9
49244.0,14.4,45.4,20.8,36.8,11.7,9.0,8.3
59807.0,15.9,32.4,19.9,35.7,11.9,6.9,6.6
52952.0,15.2,39.1,20.2,36.6,12.5,8.6,9.1
36869.0,24.6,29.8,22.9,29.8,14.1,9.1,9.4
49843.0,17.5,27.2,23.2,36.5,13.2,9.6,8.8
86403.0,6.3,20.6,41.8,33.0,8.5,4.3,5.2
47039.0,14.2,29.6,18.8,40.1,12.8,8.5,8.4
38998.0,18.8,38.5,13.3,38.6,16.4,12.7,11.5
56950.0,11.3,40.2,14.6,31.9,11.8,7.2,8.1
62556.0,11.1,36.4,21.4,37.3,13.3,8.7,7.5
46332.0,17.9,33.3,22.0,37.0,15.9,10.9,10.0
50112.0,16.4,25.6,33.8,31.2,12.6,7.7,7.4
43767.0,17.5,37.0,13.5,37.1,11.5,9.5,7.9
48372.0,13.8,33.8,15.8,34.2,13.3,10.0,9.1
57549.0,9.1,49.0,13.6,34.6,12.5,10.4,9.1
38400.0,19.7,34.2,12.3,40.6,17.0,11.6,10.4
50247.0,14.3,28.9,22.4,39.2,12.8,7.5,8.0
43084.0,19.2,31.7,12.8,40.0,16.2,9.6,10.0
47976.0,13.3,36.0,16.5,35.5,13.6,8.6,10.4
59815.0,8.5,33.0,21.1,36.6,10.9,7.6,8.0
40397.0,20.4,50.3,7.3,37.6,15.2,13.3,10.5
64524.0,11.2,37.7,20.9,31.0,12.7,8.4,8.0
47797.0,17.1,35.4,23.2,36.2,12.7,8.0,8.8
67758.0,7.1,39.7,20.9,31.5,11.9,9.2,7.6
46964.0,10.8,41.8,14.2,38.1,12.2,8.6,9.2
45596.0,14.5,35.8,18.9,33.6,12.3,10.0,9.3
51577.0,12.7,39.1,17.7,39.1,11.5,7.8,8.5
59003.0,9.5,31.9,25.9,35.9,10.3,6.8,7.3
49513.0,16.0,34.5,16.6,36.2,14.6,10.6,10.3
59251.0,11.5,35.2,19.2,35.4,12.6,9.6,7.5
43349.0,18.1,36.8,17.3,37.8,14.3,10.4,9.3
48260.0,14.6,38.9,20.9,36.2,11.8,8.0,8.7
64570.0,8.7,35.2,19.4,36.9,10.3,7.3,7.9
52251.0,16.4,36.2,19.8,35.5,15.0,9.6,10.3
47484.0,14.9,39.7,11.7,36.2,12.5,10.7,9.1
52502.0,16.8,33.2,20.6,32.8,12.7,8.6,7.2
28887.0,33.6,24.2,18.7,46.1,23.1,13.3,12.3
58307.0,8.7,24.3,30.0,27.8,9.1,6.9,6.7
47317.0,16.5,24.0,16.5,37.0,14.2,7.2,8.2
50531.0,15.1,29.2,21.4,29.0,8.4,6.1,5.1
62204.0,12.8,29.7,23.8,38.8,12.4,7.0,6.2
44389.0,18.1,44.0,11.9,34.2,13.5,10.2,8.6
44391.0,24.0,34.8,8.2,37.1,16.6,10.5,9.6
40682.0,26.5,43.4,17.2,44.0,17.5,10.8,10.6
58977.0,11.5,35.3,25.5,31.6,10.4,6.3,8.1
44534.0,13.4,43.6,13.2,37.4,12.9,11.1,8.4
47424.0,17.6,44.9,18.5,37.3,13.5,11.0,9.5
47869.0,13.7,32.0,16.2,25.6,10.0,7.6,7.8
48722.0,16.7,37.6,19.4,42.2,12.8,9.5,8.0
56478.0,16.6,27.0,30.4,37.3,11.3,8.1,7.3
124947.0,3.9,9.9,66.5,24.3,7.8,4.1,5.0
42624.0,21.0,30.3,13.8,35.9,13.7,9.3,8.8
63119.0,9.0,38.2,29.5,36.5,11.2,7.7,7.5
43650.0,14.2,41.1,16.1,30.8,11.3,7.6,8.6
89276.0,11.1,43.0,16.6,33.8,11.2,7.2,6.5
47561.0,20.4,16.0,49.9,24.9,7.4,5.4,4.8
47982.0,16.1,30.9,27.3,34.0,11.0,7.1,7.0
52567.0,12.0,24.8,28.1,34.5,11.5,7.6,7.8
55486.0,10.1,37.6,18.3,38.6,12.0,7.6,8.7
64714.0,9.9,29.0,22.7,30.7,9.8,7.1,6.4
41960.0,17.6,35.5,11.5,38.8,17.0,14.8,12.1
49960.0,15.7,34.5,19.1,38.6,13.4,9.8,8.7
29380.0,35.9,24.5,17.1,43.1,20.0,11.2,10.2
52367.0,10.8,27.6,25.5,25.4,9.9,7.2,7.8
61314.0,10.1,40.9,32.8,33.1,11.1,8.1,7.8
51509.0,15.3,28.9,27.7,35.9,12.3,9.6,8.7
54092.0,11.1,38.8,17.6,32.8,11.6,9.5,8.3
48023.0,15.3,37.8,20.6,36.0,13.2,8.1,10.4
50856.0,10.3,26.1,21.9,37.9,8.9,5.2,4.6
59942.0,10.2,29.3,23.5,35.6,13.2,8.0,8.3
84381.0,5.7,20.9,37.5,28.0,8.2,4.1,4.2
45429.0,19.2,39.5,19.2,39.4,14.8,12.6,10.1
37124.0,23.8,38.5,13.0,44.3,17.2,15.2,11.9
47175.0,12.9,21.9,25.2,27.3,11.3,6.7,7.4
79134.0,8.3,29.6,18.2,31.1,9.7,7.6,6.4
59367.0,9.9,36.0,17.7,41.9,12.6,8.1,8.8
60431.0,12.9,30.1,15.6,41.1,11.6,5.9,6.0
48020.0,18.3,32.5,20.2,41.3,15.3,12.1,10.4
52506.0,15.6,37.0,20.7,34.2,12.4,9.3,7.8
42423.0,18.9,38.6,11.6,41.0,18.6,12.0,11.2
46017.0,15.0,36.7,14.0,39.2,15.1,10.1,9.6
35840.0,27.2,41.4,12.8,43.4,17.8,12.6,10.6
43591.0,15.9,45.1,16.1,35.3,12.2,10.0,8.4
38405.0,21.4,26.3,28.0,23.7,15.2,7.8,9.0
95840.0,4.2,21.1,43.2,28.4,8.5,4.3,5.3
49151.0,14.5,32.9,18.1,36.0,12.2,7.9,8.3
38591.0,21.7,38.7,9.4,36.7,13.7,12.1,9.5
37544.0,16.7,32.9,24.3,31.0,16.9,8.9,11.5
43967.0,16.1,33.6,18.8,32.8,13.7,10.7,10.2
84861.0,5.0,34.1,33.0,36.7,9.5,7.2,6.1
94521.0,8.3,19.6,48.2,25.1,10.4,6.0,6.2
60904.0,13.1,29.9,33.5,36.2,11.8,9.3,7.6
52043.0,16.0,27.7,28.8,29.6,14.2,6.7,7.7
48830.0,18.4,31.7,16.7,40.5,15.9,8.7,9.2
58075.0,11.2,24.8,28.1,34.8,11.9,7.4,8.9
55687.0,12.0,30.8,27.2,30.8,11.7,6.8,8.5
39862.0,19.5,39.2,15.7,34.8,16.0,13.2,12.9
47758.0,15.0,33.0,18.5,37.2,13.2,9.9,9.0
58429.0,11.4,32.4,17.5,31.4,11.9,8.8,8.1
39994.0,20.8,38.0,17.0,30.1,17.3,13.3,13.6
48104.0,12.4,37.6,20.3,35.9,13.1,9.0,9.3
37429.0,20.3,37.0,12.4,43.2,16.9,11.0,9.7
45517.0,17.1,33.3,15.5,34.9,16.1,10.3,9.7
58910.0,6.5,41.4,12.4,30.8,11.7,6.5,8.0
57709.0,9.9,40.7,16.5,38.0,11.6,9.0,7.8
44482.0,14.8,33.8,16.0,32.4,13.0,10.6,10.1
47299.0,13.2,41.2,18.5,39.3,15.3,13.1,10.7
76224.0,9.2,28.8,26.1,36.1,8.9,5.8,6.0
86541.0,7.0,18.7,49.6,28.1,11.4,6.7,7.6
59337.0,21.1,47.3,11.7,39.5,14.9,10.6,8.7
38284.0,17.9,36.2,17.2,37.5,15.5,11.3,11.4
43053.0,18.6,34.4,13.4,33.5,13.0,10.5,9.7
40299.0,18.2,32.1,17.3,40.9,13.4,9.8,7.9
37259.0,21.3,43.4,13.7,40.4,17.9,10.7,10.9
55151.0,12.9,28.1,20.0,36.4,13.5,8.3,8.7
61773.0,13.4,35.2,20.3,32.6,10.7,7.7,7.1
41807.0,16.0,30.8,20.6,42.5,14.0,9.5,9.0
50093.0,10.8,30.9,22.7,38.3,12.8,7.9,9.6
73037.0,11.2,26.9,37.8,28.8,10.3,5.9,6.1
60973.0,11.4,27.6,28.4,30.3,12.2,10.1,9.1
42258.0,18.0,35.4,15.7,40.5,15.6,11.0,11.0
47243.0,13.3,50.0,16.0,36.0,12.7,9.7,8.9
55343.0,15.4,32.5,10.9,36.1,13.7,9.5,8.9
68835.0,8.7,28.6,30.4,27.7,11.0,8.0,7.4
73309.0,7.8,33.1,24.1,33.0,10.4,7.0,5.7
93751.0,6.5,29.6,34.9,28.5,10.4,7.2,6.7
57155.0,14.0,28.6,23.9,31.5,11.9,7.4,7.0
89964.0,8.0,30.0,31.5,36.2,10.8,6.9,6.2
50330.0,12.0,38.0,19.1,37.1,13.6,9.2,9.4
65238.0,8.8,40.2,24.2,29.8,11.2,7.9,7.2
87377.0,4.9,29.1,28.4,33.4,8.1,4.8,5.3
36311.0,22.9,34.3,20.4,41.0,18.1,11.1,10.5
51802.0,12.6,27.1,34.0,27.8,9.6,6.4,6.4
46810.0,15.2,37.8,9.4,32.7,13.7,10.7,8.5
46706.0,15.4,49.1,14.3,37.1,13.0,9.7,8.9
57197.0,10.5,37.1,18.5,34.4,11.9,8.9,8.1
57979.0,13.2,33.6,30.5,32.2,11.4,7.2,7.0
60251.0,10.2,31.3,32.6,31.5,10.5,8.1,7.0
62191.0,11.0,29.7,24.5,33.8,11.7,8.3,7.6
88475.0,6.9,30.3,28.8,31.6,10.5,7.3,7.0
29124.0,37.3,44.0,9.4,41.9,21.2,10.7,10.2
52346.0,16.9,25.3,31.8,36.0,12.2,7.4,7.7
35751.0,25.2,40.2,11.0,42.5,17.6,16.1,12.7
45408.0,19.9,30.5,27.6,32.8,11.8,7.7,7.6
55358.0,14.6,20.0,42.9,31.6,11.8,7.9,6.9
45955.0,14.2,46.2,14.9,35.5,12.7,10.6,9.0
51132.0,14.4,27.3,27.4,27.7,9.1,7.0,7.0
54866.0,9.5,25.2,20.8,37.3,10.9,7.3,7.8
53413.0,12.0,33.5,26.5,33.8,13.7,10.1,9.9
44121.0,13.8,26.8,23.1,34.9,13.5,9.0,9.5
52012.0,15.6,27.1,13.6,36.4,12.8,7.7,7.9
51058.0,11.3,43.5,15.0,36.5,12.1,7.5,9.3
99223.0,6.7,24.0,44.9,29.6,9.9,6.0,6.3
36718.0,25.7,38.6,12.8,43.0,16.4,11.0,9.7
75629.0,10.5,27.5,26.7,28.8,8.9,5.4,5.2
51692.0,13.6,37.6,21.8,34.6,11.3,8.4,8.7
57243.0,10.9,27.2,26.7,34.9,11.2,7.0,7.5
83210.0,6.3,24.5,41.4,30.3,9.4,6.9,6.6
56697.0,8.9,36.1,19.9,39.7,11.0,7.5,8.0
37134.0,25.9,32.3,19.5,42.0,17.6,9.3,8.6
40064.0,19.4,48.4,16.3,37.1,15.7,14.1,11.3
54020.0,12.5,32.7,14.9,34.1,12.2,7.8,7.5
50006.0,17.9,28.0,31.9,34.9,13.3,8.7,8.1
43367.0,22.3,41.7,8.9,40.0,15.8,10.7,10.2
48554.0,15.9,34.1,17.0,35.6,13.3,9.2,8.8
44261.0,19.1,42.1,14.5,39.1,13.1,10.8,9.0
36862.0,25.3,34.7,13.1,37.9,16.5,11.2,10.3
64878.0,9.4,27.1,33.0,35.1,9.3,5.9,6.1
49843.0,12.7,28.0,26.5,34.1,11.4,7.1,8.6
62149.0,8.6,25.7,43.9,23.4,10.4,7.1,8.2
58042.0,11.5,33.8,22.6,33.2,11.0,8.8,8.0
40780.0,21.4,41.7,10.4,43.6,15.8,14.4,11.3
55387.0,12.2,31.1,17.6,29.2,9.7,7.0,6.9
45385.0,18.4,37.2,19.2,37.6,16.4,9.2,9.0
40009.0,14.9,30.0,20.8,25.5,11.7,8.5,9.3
62817.0,8.9,30.7,32.9,36.1,10.7,7.7,6.8
50141.0,12.9,36.1,16.4,35.5,12.6,8.1,9.9
62930.0,8.5,26.8,34.5,29.6,10.2,7.7,7.1
31329.0,32.6,29.5,15.4,45.4,18.8,10.2,8.9
25385.0,33.4,40.3,12.5,45.3,21.8,12.2,11.2
62300.0,10.2,35.5,29.1,28.8,10.4,7.7,7.0
49991.0,14.5,32.4,18.4,36.6,13.6,8.8,8.5
42431.0,13.9,41.7,18.2,36.0,12.7,8.5,9.7
38514.0,19.9,34.9,13.9,39.8,16.3,11.0,9.8
51746.0,15.2,36.3,14.4,36.9,14.7,9.1,8.6
53387.0,11.6,31.6,21.7,33.5,10.6,6.5,7.5
47560.0,17.1,25.5,22.5,28.4,12.9,9.3,9.2
44213.0,14.2,34.0,24.8,33.1,15.7,11.4,10.8
52058.0,10.4,39.0,19.3,34.2,12.0,7.2,8.7
52513.0,14.0,38.8,21.4,34.5,11.3,9.0,7.8
62029.0,9.2,35.7,17.3,32.6,9.9,6.8,7.1
93645.0,5.3,25.1,40.7,28.6,9.4,7.0,6.4
47284.0,18.8,44.6,11.1,39.8,15.5,13.1,10.8
60378.0,10.2,42.4,17.9,37.4,10.9,7.2,7.5
45487.0,13.8,40.1,17.5,37.1,13.7,9.5,10.6
69541.0,9.5,27.2,28.1,31.0,11.1,8.6,7.7
44132.0,18.4,37.1,15.2,38.7,15.0,12.6,10.3
39536.0,17.3,30.6,18.4,37.0,14.7,9.4,9.5
59457.0,8.8,34.7,25.5,32.0,11.0,6.1,8.4
58096.0,8.7,28.3,24.1,37.0,11.4,7.0,8.4
56102.0,10.8,40.4,19.4,35.1,12.6,9.0,9.2
61341.0,9.1,40.7,14.3,35.8,12.2,9.7,7.6
65818.0,10.5,36.2,11.9,32.7,10.9,6.4,6.4
64768.0,8.3,23.2,33.0,32.1,11.2,8.0,8.0
48754.0,14.3,38.9,20.6,37.3,12.0,8.2,9.1
37360.0,17.7,40.4,15.0,39.4,16.3,11.1,11.5
33991.0,32.6,30.5,18.8,43.5,19.6,10.9,9.7
40965.0,21.6,35.9,13.7,31.9,15.6,10.8,9.3
45817.0,12.6,42.2,15.5,36.4,13.1,11.1,10.4
46365.0,17.3,32.8,17.1,35.9,14.2,7.4,7.8
53884.0,12.2,31.5,16.5,35.9,12.0,9.9,8.7
61675.0,11.3,24.4,35.2,31.5,9.9,7.2,6.5
55384.0,17.3,28.7,30.0,29.5,14.3,9.9,9.7
51475.0,12.8,35.0,16.1,33.9,12.8,8.0,9.1
51690.0,10.9,29.3,23.6,31.9,11.0,7.2,8.2
87087.0,5.5,14.4,55.3,27.2,8.2,4.7,5.4
44992.0,16.7,46.0,15.4,33.7,12.7,10.6,9.1
31662.0,54.0,25.3,11.8,41.0,17.9,11.5,10.9
54795.0,11.9,34.1,19.8,37.3,11.1,7.2,8.5
38879.0,21.3,44.4,11.2,37.7,14.4,12.1,10.0
67349.0,7.0,21.8,42.8,31.3,11.6,8.7,9.2
65831.0,9.1,33.3,24.2,33.0,11.0,7.8,7.6
47291.0,20.0,30.0,25.6,32.4,10.7,8.7,7.5
36760.0,22.0,37.8,14.4,42.0,19.3,11.6,10.9
56651.0,11.9,35.1,20.3,34.5,10.8,8.0,7.3
47117.0,15.1,32.8,25.0,33.7,12.6,9.0,8.3
67161.0,8.7,33.2,35.4,33.4,10.0,6.9,6.8
66720.0,9.4,42.3,14.9,34.1,12.2,9.6,7.7
52611.0,16.7,22.4,37.7,36.3,11.0,5.8,5.8
73337.0,14.3,25.7,40.9,24.0,11.1,4.8,5.4
68581.0,9.0,21.7,42.9,32.3,11.1,6.0,6.1
34035.0,31.4,35.2,15.1,42.2,21.1,11.4,10.6
49611.0,13.8,38.9,16.4,39.3,14.1,11.4,9.5
37626.0,21.3,43.8,15.4,42.1,17.1,10.9,10.8
66360.0,8.1,33.8,21.0,36.6,10.2,6.8,7.2
46818.0,11.2,32.8,18.6,33.5,12.4,8.0,8.4
43119.0,14.1,42.1,17.5,32.4,13.5,11.0,10.2
47441.0,12.6,44.3,17.4,37.6,13.4,11.0,10.2
51152.0,15.6,33.3,17.1,37.7,13.6,9.6,9.5
70808.0,13.5,18.3,51.4,26.5,10.1,5.3,5.1
52891.0,13.4,41.8,13.6,37.1,11.6,8.4,8.7
49731.0,12.6,42.6,12.6,35.6,14.7,11.9,9.4
51559.0,14.1,35.1,18.2,39.8,13.0,8.4,7.7
64234.0,10.1,31.6,28.3,32.2,9.3,6.4,6.8
53806.0,11.0,25.1,24.6,32.1,11.9,8.5,8.3
67790.0,9.8,29.8,33.3,30.5,10.2,6.7,6.7
78503.0,8.6,31.8,26.6,22.8,10.4,5.4,6.4
40557.0,17.0,45.6,11.3,39.2,15.5,13.1,11.3
63860.0,10.5,24.5,38.6,26.5,9.8,6.2,6.7
91183.0,10.0,21.7,47.4,23.2,8.6,5.5,5.5
40064.0,20.8,29.2,17.7,30.3,12.9,8.1,8.6
72247.0,7.1,32.1,31.6,31.3,9.3,7.3,6.8
76304.0,6.9,29.7,35.1,23.8,9.2,6.6,6.9
65993.0,7.2,32.3,28.9,32.0,8.7,5.8,5.9
66151.0,10.6,40.0,16.9,38.2,13.0,10.1,7.8
57019.0,12.5,29.5,16.8,31.3,12.5,8.5,8.6
65323.0,9.6,34.3,25.0,35.0,9.9,5.8,6.8
49356.0,13.5,28.0,23.1,28.8,12.2,8.8,9.2
50774.0,12.3,43.4,22.5,34.4,11.2,8.3,7.6
57120.0,17.0,18.0,50.4,30.2,7.9,5.3,5.0
66075.0,7.2,31.9,27.6,27.6,10.9,7.4,7.4
41968.0,15.8,39.1,11.0,38.5,15.1,13.0,10.7
42435.0,19.9,30.5,20.5,41.3,14.8,9.8,9.0
42782.0,18.4,33.9,16.5,38.9,14.2,7.3,7.8
53961.0,11.0,31.0,26.2,38.9,11.7,7.4,7.2
39201.0,17.6,36.3,10.2,35.9,16.4,12.2,10.6
47781.0,12.8,39.2,14.9,35.0,12.3,8.3,9.0
53968.0,9.4,43.6,17.2,37.8,12.2,8.3,9.0
46067.0,15.9,36.0,16.5,38.7,14.4,9.6,9.5
37265.0,24.8,44.3,12.0,39.1,20.9,11.7,10.8
45051.0,15.8,35.2,17.7,37.3,14.7,7.7,8.4
54165.0,14.4,24.3,33.2,32.0,12.6,7.0,6.4
58925.0,9.9,36.6,21.5,32.2,11.7,9.1,7.8
54917.0,9.9,33.7,19.4,35.6,11.0,6.7,8.2
34024.0,33.6,34.2,17.0,46.8,18.4,11.3,12.1
66296.0,9.6,26.3,29.2,38.7,11.0,7.2,6.6
34824.0,24.6,39.9,14.1,42.8,14.8,12.4,10.7
34134.0,22.6,37.3,16.5,35.9,13.5,11.5,9.7
58956.0,13.0,31.3,22.3,34.3,14.0,8.7,8.1
58203.0,11.9,35.9,18.4,36.4,11.7,9.1,7.8
79278.0,11.1,38.7,11.6,32.1,11.9,9.1,8.1
50504.0,12.0,50.1,15.5,37.3,12.7,9.7,9.1
47008.0,19.5,36.5,9.8,39.0,14.7,6.7,7.6
47733.0,15.1,47.2,16.1,39.6,13.4,11.1,9.0
48018.0,14.0,29.9,16.6,36.4,14.4,9.5,9.7
51715.0,15.2,29.8,30.6,33.6,9.9,7.4,7.4
51255.0,14.9,40.8,18.1,35.0,13.1,11.1,9.7
53780.0,10.7,38.8,20.3,31.8,12.1,7.9,8.3
63567.0,14.3,28.2,18.4,33.3,12.0,6.3,6.3
66056.0,10.0,31.0,24.2,35.3,13.0,10.1,8.2
38826.0,22.2,39.0,13.3,40.5,18.6,11.9,12.3
39917.0,18.7,38.4,13.2,39.1,17.5,10.8,9.8
94822.0,9.2,15.2,51.4,23.2,8.5,4.1,4.7
59821.0,12.3,32.8,26.5,34.5,13.4,9.6,9.8
51788.0,10.4,35.4,21.2,33.6,11.5,6.7,8.4
38441.0,23.2,36.1,14.6,32.1,16.2,10.3,8.9
40025.0,20.2,40.8,13.4,36.0,16.4,13.1,12.2
58848.0,12.9,29.7,19.0,37.6,13.5,8.3,8.0
62657.0,10.3,34.0,28.0,32.3,12.1,7.9,8.0
36573.0,25.6,41.1,10.2,38.8,15.4,11.8,10.5
47600.0,15.5,47.2,16.2,38.3,14.9,11.1,10.8
50565.0,17.8,45.4,10.5,36.9,15.0,12.4,10.3
37867.0,22.5,43.0,15.2,39.7,17.1,14.7,12.0
39522.0,18.3,39.0,20.8,35.0,13.0,10.7,9.8
61808.0,10.8,27.3,41.5,24.5,8.8,6.6,6.6
53559.0,17.3,32.7,14.9,37.0,14.3,7.2,7.8
43303.0,23.2,23.6,31.8,35.7,11.7,7.3,6.6
44969.0,15.7,43.6,12.1,38.0,15.8,11.1,10.7
40866.0,14.4,41.0,18.9,36.8,14.3,11.4,10.6
38664.0,26.5,33.2,14.2,43.2,17.3,10.1,9.2
45163.0,14.7,44.9,21.4,33.0,12.8,9.1,8.8
48726.0,23.8,26.1,39.5,27.7,8.2,6.3,5.7
49771.0,19.1,28.2,30.5,35.9,11.0,6.6,6.4
62875.0,14.9,28.1,34.8,30.2,13.0,6.3,6.5
72277.0,7.4,23.3,35.1,34.2,8.7,5.6,6.4
48152.0,15.0,29.9,21.3,34.1,11.9,9.8,8.9
53792.0,13.0,31.0,20.9,37.3,11.0,6.9,6.7
33085.0,24.1,39.9,15.8,32.7,16.5,9.7,10.4
50670.0,12.0,42.9,15.0,35.4,11.8,8.6,9.1
60285.0,8.4,29.9,30.1,28.0,11.3,6.9,7.7
61433.0,9.6,30.6,33.8,33.9,14.0,8.6,10.1
49332.0,15.5,37.6,21.9,35.1,11.8,8.3,7.8
59471.0,10.5,22.0,36.9,30.1,12.1,8.2,8.7
79354.0,6.5,26.4,24.8,38.8,8.6,5.1,5.5
57701.0,10.0,47.5,14.9,37.4,12.5,9.9,8.5
89373.0,10.5,17.1,39.9,21.6,10.1,5.1,5.5
48335.0,19.2,32.2,24.5,32.2,12.0,9.8,7.6
48352.0,15.9,30.2,17.9,36.1,14.8,10.4,10.1
60531.0,8.0,36.3,22.2,33.8,10.1,7.0,7.6
49317.0,13.7,32.8,13.0,38.8,15.6,9.8,9.8
54382.0,11.2,29.9,29.9,27.5,9.7,6.9,7.5
46220.0,8.3,34.6,23.9,34.3,12.5,8.2,9.7
60733.0,10.2,34.7,32.9,32.3,10.7,6.2,7.9
60695.0,8.9,30.6,24.4,30.4,10.8,6.2,7.1
56724.0,10.6,37.1,25.2,37.7,12.6,8.4,9.1
44725.0,19.0,45.1,15.7,36.9,14.3,12.7,10.4
57786.0,8.8,34.2,22.0,35.6,10.9,6.3,7.9
44704.0,13.8,38.0,21.5,25.9,10.9,8.3,8.6
75477.0,6.9,26.1,43.5,27.2,9.4,6.4,6.1
53162.0,10.4,33.6,28.6,32.8,12.2,7.3,9.2
33108.0,28.9,34.8,12.3,43.6,16.7,15.0,11.6
39412.0,21.8,42.3,11.8,35.3,15.5,11.9,9.9
54476.0,13.3,32.9,21.9,33.6,11.8,7.6,7.8
47101.0,16.2,48.8,15.4,39.0,15.2,12.6,10.2
58890.0,12.0,30.6,32.1,33.1,12.6,8.7,7.8
57392.0,9.9,32.8,21.0,35.2,11.5,6.8,8.4
40582.0,23.9,37.5,12.4,38.6,17.2,11.5,10.1
69598.0,7.9,31.8,22.6,28.3,10.1,7.5,7.2
47949.0,18.0,33.1,23.1,39.4,14.9,8.5,7.8
55195.0,13.0,29.1,18.8,34.2,11.7,8.5,8.3
63714.0,11.3,33.9,23.4,37.8,13.4,9.3,8.6
45261.0,15.5,34.3,18.2,36.3,15.0,8.7,9.9
42282.0,19.0,33.7,33.2,31.2,10.2,8.6,7.8
119731.0,4.9,20.0,54.5,26.2,9.5,4.8,5.5
58806.0,10.1,30.6,25.0,33.1,12.6,7.1,9.6
51402.0,14.9,26.5,23.4,26.3,12.6,8.7,9.1
51031.0,15.5,42.3,17.9,33.2,12.7,10.1,7.9
47047.0,16.2,26.6,18.1,38.4,14.1,9.6,11.0
33261.0,27.9,40.4,12.5,38.4,17.6,11.1,9.9
39309.0,16.6,46.1,15.8,33.7,13.5,11.2,9.9
51235.0,13.1,27.5,31.5,39.4,12.3,7.8,8.4
55324.0,9.3,30.2,31.1,28.9,16.6,11.8,13.7
42725.0,20.4,32.5,11.1,38.7,17.3,11.7,10.8
38966.0,21.5,36.1,13.5,34.2,14.0,11.7,10.2
45221.0,12.8,33.8,17.4,35.7,11.5,7.8,8.7
36779.0,26.1,40.3,9.9,37.2,16.8,11.8,9.8
51586.0,20.5,27.7,16.1,33.6,12.3,7.1,6.6
32228.0,32.1,32.4,12.9,44.3,18.8,16.5,12.6
51594.0,13.6,27.9,20.6,30.1,11.6,7.0,6.9
35290.0,27.8,31.9,12.3,39.0,19.6,11.6,10.2
50904.0,15.9,41.8,19.2,34.3,13.5,10.5,9.4
51382.0,16.7,32.1,22.5,36.3,12.4,7.9,7.1
35636.0,26.5,42.3,13.7,39.7,16.4,10.7,9.3
102136.0,5.6,21.3,42.2,35.6,10.3,7.4,6.5
56169.0,21.2,25.8,14.0,36.3,12.8,7.0,6.6
